country,facility_name,town,address,latitude,longitude,coord_precision,outdoor_courts,surface,lighting,free_use,access,owner,lipas_id,source_url,data_cutoff,fact_check_notes,permalink
FINLAND,Perniön beachvolleykenttä,,"Lupajantie, 25500",60.203115,23.124833,address,1,sand,,,public,city,512067,https://salo.fi/vapaa-aika-ja-matkailu/liikunta/ulkoliikuntapaikat/kentat/beach-volley-lentopallo-koripallo/?mid=5-5549,2026-05-13,LIPAS id 512067; type 1330; status active,fi-out-512067-pernion-beachvolleykentta
FINLAND,Pertunkaaren beachvolleykenttä,,"Perttulantie 5, 32100",60.807324,23.283167,address,1,sand,,,public,city,611151,https://www.ypaja.fi/pertunmaenalue/,2026-05-13,LIPAS id 611151; type 1330; status active,fi-out-611151-pertunkaaren-beachvolleykentta
FINLAND,Pettilän beachvolleykenttä,,"Kuivasensaarentie 1196, 54950",61.300027,27.760274,address,1,sand,,,public,registered-association,511791,http://kylat.ekarjala.fi/kuivasensaari/,2026-05-13,LIPAS id 511791; type 1330; status active,fi-out-511791-pettilan-beachvolleykentta
FINLAND,Rauhan bechvolleykenttä,,"Vipelentie, 55320",61.195909,28.694042,address,1,,,yes,public,city,603792,,2026-05-13,LIPAS id 603792; type 1330; status active,fi-out-603792-rauhan-bechvolleykentta
FINLAND,Regattarannan rantalentopallokenttä,,"Merikatu, 10900",59.821417,22.970496,address,1,sand,,yes,public,city,615848,,2026-05-13,LIPAS id 615848; type 1330; status active,fi-out-615848-regattarannan-rantalentopallokentta
FINLAND,Räikän beachvolleykenttä,,"Räikän puisto, 33480",61.558018,23.600597,address,1,,,yes,public,city,619981,,2026-05-13,LIPAS id 619981; type 1330; status active,fi-out-619981-raikan-beachvolleykentta
FINLAND,Sataman beachvolleykenttä,,"Sysmäntie 18, 19700",61.500297,25.692425,address,1,sand,,yes,public,city,510382,http://www.sysma.fi/,2026-05-13,LIPAS id 510382; type 1330; status active,fi-out-510382-sataman-beachvolleykentta
FINLAND,Savitaipaleen koulukeskuksen beachvolleykenttä,,"Koulutie 7, 54800",61.195581,27.696339,address,1,sand,yes,yes,school,city,511804,http://www.savitaipale.fi/,2026-05-13,LIPAS id 511804; type 1330; status active,fi-out-511804-savitaipaleen-koulukeskuksen-beachvolleykentta
FINLAND,Someron urheilukentän beachvolleykenttä,,"Koulutie, 31400",60.627179,23.512121,address,3,sand,,,public,city,"510586, 510587, 510588",https://www.somero.fi/vapaa-aika-ja-matkailu/liikunta/liikuntapaikat/sisaliikunta/,2026-05-13,"Merged 3 LIPAS entries (ids: 510586, 510587, 510588); LIPAS id 510586; type 1330; status active",fi-out-510586-510587-510588-someron-urheilukentan-beachvolleykentta
FINLAND,Sulkavan beachvolleykenttä,,"Alanteentie, 58700",61.788657,28.368760,address,1,sand,,yes,public,city,510454,http://www.sulkava.fi/,2026-05-13,LIPAS id 510454; type 1330; status active,fi-out-510454-sulkavan-beachvolleykentta
