country,facility_name,town,address,latitude,longitude,coord_precision,outdoor_courts,surface,lighting,free_use,access,owner,lipas_id,source_url,data_cutoff,fact_check_notes
FINLAND,Läyliäisten beachvolleykenttä 1,Läyliäinen,"Läyliäistenraitti 125, 12600 Läyliäinen",60.618284,24.460760,address,1,sand,,yes,school,city,515976,www.loppi.fi,2026-05-09,LIPAS id 515976; type 1330; status active
FINLAND,Läyliäisten beachvolleykenttä 2,Läyliäinen,"Läyliäistenraitti 125, 12600 Läyliäinen",60.618284,24.460860,address,1,sand,,yes,school,city,616940,www.loppi.fi,2026-05-09,LIPAS id 616940; type 1330; status active
FINLAND,Läyliäisten beachvolleykenttä 3,Läyliäinen,"Läyliäistenraitti 125, 12600 Läyliäinen",60.618284,24.460960,address,1,sand,,yes,school,city,616941,www.loppi.fi,2026-05-09,LIPAS id 616941; type 1330; status active
FINLAND,Läyliäisten beachvolleykenttä 4,Läyliäinen,"Läyliäistenraitti 125, 12600 Läyliäinen",60.618284,24.461060,address,1,sand,,yes,school,city,616942,www.loppi.fi,2026-05-09,LIPAS id 616942; type 1330; status active
FINLAND,Messilän beachvolleykenttä 1,MESSILÄ,"Satamapolku, 15980 MESSILÄ",61.018890,25.566301,address,1,sand,,,public,city,102018,http://www.campingmessila.fi/fi/aktiviteetit,2026-05-09,LIPAS id 102018; type 1330; status active
FINLAND,Messilän beachvolleykenttä 2,MESSILÄ,"Satamapolku, 15980 MESSILÄ",61.018890,25.566401,address,1,sand,,,public,city,616789,http://www.campingmessila.fi/fi/aktiviteetit,2026-05-09,LIPAS id 616789; type 1330; status active
FINLAND,Messilän beachvolleykenttä 3,MESSILÄ,"Satamapolku, 15980 MESSILÄ",61.018890,25.566501,address,1,sand,,,public,city,616790,http://www.campingmessila.fi/fi/aktiviteetit,2026-05-09,LIPAS id 616790; type 1330; status active
FINLAND,Messilän beachvolleykenttä 4,MESSILÄ,"Satamapolku, 15980 MESSILÄ",61.018890,25.566601,address,1,sand,,,public,city,616791,http://www.campingmessila.fi/fi/aktiviteetit,2026-05-09,LIPAS id 616791; type 1330; status active
FINLAND,Messilän beachvolleykenttä 5,MESSILÄ,"Satamapolku, 15980 MESSILÄ",61.018890,25.566701,address,1,sand,,,public,city,616792,http://www.campingmessila.fi/fi/aktiviteetit,2026-05-09,LIPAS id 616792; type 1330; status active
FINLAND,Maaningan urheilutalon beachvolleykenttä 1,Maaninka,"Maaningantie 49, 71750 Maaninka",63.150313,27.303308,address,,sand,,yes,public,city,515883,https://www.kuopio.fi/fi/liikunta-ja-ulkoilu,2026-05-09,LIPAS id 515883; type 1330; status active
FINLAND,Maaningan urheilutalon beachvolleykenttä 2,Maaninka,"Maaningantie 49, 71750 Maaninka",63.150204,27.303001,address,,sand,,yes,public,city,616901,https://www.kuopio.fi/fi/liikunta-ja-ulkoilu,2026-05-09,LIPAS id 616901; type 1330; status active
